id;judul;abstrak;tahun
23;Pendeteksian Plat Nomor Kendaraan Otomatis Menggunakan YOLO;kebutuhan identifikasi kendaraan secara cepat melatarbelakangi penelitian ini algoritma yolo digunakan untuk mengenali dan menandai posisi objek pada gambar secara real time data citra dikumpulkan kemudian dianotasi dengan menandai posisi setiap objek arsitektur yolo membagi gambar menjadi beberapa kotak dan memprediksi kotak pembatas serta kelas objek secara langsung dalam satu tahap sehingga proses deteksi berlangsung sangat cepat model dilatih menggunakan data latih dan diuji untuk mengukur akurasi serta kecepatan deteksi algoritma yolo dipilih karena mampu mendeteksi objek secara real time dengan akurasi yang baik hasil pengujian menunjukkan algoritma ini mampu mendeteksi objek dengan cepat tepat dan andal penelitian ini bermanfaat untuk penerapan sistem pemantauan otomatis seperti penghitungan kendaraan pengawasan keamanan dan pemantauan lalu lintas pada gambar maupun video secara efisien dan akurat dalam berbagai kondisi lapangan yang beragam hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
24;Deteksi Pejalan Kaki di Penyeberangan Berbasis YOLO;pentingnya keselamatan pejalan kaki menjadi perhatian penelitian ini algoritma yolo digunakan untuk mengenali dan menandai posisi objek pada gambar secara real time data citra dikumpulkan kemudian dianotasi dengan menandai posisi setiap objek arsitektur yolo membagi gambar menjadi beberapa kotak dan memprediksi kotak pembatas serta kelas objek secara langsung dalam satu tahap sehingga proses deteksi berlangsung sangat cepat model dilatih menggunakan data latih dan diuji untuk mengukur akurasi serta kecepatan deteksi algoritma yolo dipilih karena mampu mendeteksi objek secara real time dengan akurasi yang baik hasil pengujian menunjukkan algoritma ini mampu mendeteksi objek dengan cepat tepat dan andal penelitian ini bermanfaat untuk penerapan sistem pemantauan otomatis seperti penghitungan kendaraan pengawasan keamanan dan pemantauan lalu lintas pada gambar maupun video secara efisien dan akurat dalam berbagai kondisi lapangan yang beragam hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
25;Peramalan Harga Saham Perusahaan Teknologi dengan LSTM;fluktuasi harga saham yang tinggi menjadi latar belakang penelitian ini metode long short term memory digunakan dengan analisis data deret waktu untuk meramalkan nilai pada masa depan data historis dikumpulkan kemudian melewati tahap praproses yang meliputi normalisasi nilai dan pembentukan jendela waktu sebagai masukan long short term memory dipilih karena mampu mengingat pola jangka panjang pada data deret waktu sehingga cocok untuk peramalan model dilatih menggunakan data masa lalu dan diuji menggunakan data yang belum pernah dilihat untuk mengukur tingkat kesalahan prediksi hasil pengujian menunjukkan model mampu melakukan peramalan dengan tingkat kesalahan yang rendah dan mengikuti pola data dengan baik penelitian ini bermanfaat untuk membantu pengambilan keputusan berdasarkan prediksi nilai pada masa depan sehingga dapat digunakan dalam perencanaan strategi dan pengelolaan sumber daya yang lebih matang terukur dan tepat sasaran bagi berbagai sektor industri hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
26;Prediksi Volume Penjualan Ritel Menggunakan LSTM;kebutuhan perencanaan stok yang akurat mendorong penelitian ini metode long short term memory digunakan dengan analisis data deret waktu untuk meramalkan nilai pada masa depan data historis dikumpulkan kemudian melewati tahap praproses yang meliputi normalisasi nilai dan pembentukan jendela waktu sebagai masukan long short term memory dipilih karena mampu mengingat pola jangka panjang pada data deret waktu sehingga cocok untuk peramalan model dilatih menggunakan data masa lalu dan diuji menggunakan data yang belum pernah dilihat untuk mengukur tingkat kesalahan prediksi hasil pengujian menunjukkan model mampu melakukan peramalan dengan tingkat kesalahan yang rendah dan mengikuti pola data dengan baik penelitian ini bermanfaat untuk membantu pengambilan keputusan berdasarkan prediksi nilai pada masa depan sehingga dapat digunakan dalam perencanaan strategi dan pengelolaan sumber daya yang lebih matang terukur dan tepat sasaran bagi berbagai sektor industri hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
27;Prediksi Konsumsi Energi Listrik Rumah Tangga Berbasis LSTM;meningkatnya kebutuhan efisiensi energi menjadi dasar penelitian ini metode long short term memory digunakan dengan analisis data deret waktu untuk meramalkan nilai pada masa depan data historis dikumpulkan kemudian melewati tahap praproses yang meliputi normalisasi nilai dan pembentukan jendela waktu sebagai masukan long short term memory dipilih karena mampu mengingat pola jangka panjang pada data deret waktu sehingga cocok untuk peramalan model dilatih menggunakan data masa lalu dan diuji menggunakan data yang belum pernah dilihat untuk mengukur tingkat kesalahan prediksi hasil pengujian menunjukkan model mampu melakukan peramalan dengan tingkat kesalahan yang rendah dan mengikuti pola data dengan baik penelitian ini bermanfaat untuk membantu pengambilan keputusan berdasarkan prediksi nilai pada masa depan sehingga dapat digunakan dalam perencanaan strategi dan pengelolaan sumber daya yang lebih matang terukur dan tepat sasaran bagi berbagai sektor industri hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
28;Peramalan Harga Komoditas Pangan dengan LSTM;fluktuasi harga pangan yang sering terjadi melatarbelakangi penelitian ini metode long short term memory digunakan dengan analisis data deret waktu untuk meramalkan nilai pada masa depan data historis dikumpulkan kemudian melewati tahap praproses yang meliputi normalisasi nilai dan pembentukan jendela waktu sebagai masukan long short term memory dipilih karena mampu mengingat pola jangka panjang pada data deret waktu sehingga cocok untuk peramalan model dilatih menggunakan data masa lalu dan diuji menggunakan data yang belum pernah dilihat untuk mengukur tingkat kesalahan prediksi hasil pengujian menunjukkan model mampu melakukan peramalan dengan tingkat kesalahan yang rendah dan mengikuti pola data dengan baik penelitian ini bermanfaat untuk membantu pengambilan keputusan berdasarkan prediksi nilai pada masa depan sehingga dapat digunakan dalam perencanaan strategi dan pengelolaan sumber daya yang lebih matang terukur dan tepat sasaran bagi berbagai sektor industri hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
29;Prediksi Nilai Tukar Rupiah Menggunakan LSTM;pentingnya prediksi nilai tukar bagi pelaku usaha menjadi perhatian penelitian ini metode long short term memory digunakan dengan analisis data deret waktu untuk meramalkan nilai pada masa depan data historis dikumpulkan kemudian melewati tahap praproses yang meliputi normalisasi nilai dan pembentukan jendela waktu sebagai masukan long short term memory dipilih karena mampu mengingat pola jangka panjang pada data deret waktu sehingga cocok untuk peramalan model dilatih menggunakan data masa lalu dan diuji menggunakan data yang belum pernah dilihat untuk mengukur tingkat kesalahan prediksi hasil pengujian menunjukkan model mampu melakukan peramalan dengan tingkat kesalahan yang rendah dan mengikuti pola data dengan baik penelitian ini bermanfaat untuk membantu pengambilan keputusan berdasarkan prediksi nilai pada masa depan sehingga dapat digunakan dalam perencanaan strategi dan pengelolaan sumber daya yang lebih matang terukur dan tepat sasaran bagi berbagai sektor industri hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
30;Peramalan Cuaca Harian Wilayah Surakarta dengan RNN;kebutuhan informasi cuaca yang akurat menjadi latar belakang penelitian ini metode recurrent neural network digunakan dengan analisis data deret waktu untuk memprediksi nilai pada periode mendatang data historis dikumpulkan kemudian dinormalisasi dan dibentuk menjadi urutan waktu sebagai masukan recurrent neural network dipilih karena mampu memproses data berurutan dan mengenali pola perubahan dari waktu ke waktu secara efektif model dilatih menggunakan data masa lalu dan diuji menggunakan data uji untuk mengukur akurasi peramalan hasil pengujian menunjukkan model mampu meramalkan nilai dengan tingkat kesalahan yang kecil dan mengikuti tren data secara konsisten penelitian ini diharapkan membantu proses perencanaan dengan menyediakan prediksi yang akurat sehingga dapat digunakan sebagai dasar pengambilan keputusan pada berbagai bidang seperti pertanian perdagangan dan pelayanan masyarakat secara lebih baik dan tepat waktu demi peningkatan kualitas layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
31;Prediksi Curah Hujan untuk Pertanian Menggunakan RNN;pentingnya informasi curah hujan bagi petani mendorong penelitian ini metode recurrent neural network digunakan dengan analisis data deret waktu untuk memprediksi nilai pada periode mendatang data historis dikumpulkan kemudian dinormalisasi dan dibentuk menjadi urutan waktu sebagai masukan recurrent neural network dipilih karena mampu memproses data berurutan dan mengenali pola perubahan dari waktu ke waktu secara efektif model dilatih menggunakan data masa lalu dan diuji menggunakan data uji untuk mengukur akurasi peramalan hasil pengujian menunjukkan model mampu meramalkan nilai dengan tingkat kesalahan yang kecil dan mengikuti tren data secara konsisten penelitian ini diharapkan membantu proses perencanaan dengan menyediakan prediksi yang akurat sehingga dapat digunakan sebagai dasar pengambilan keputusan pada berbagai bidang seperti pertanian perdagangan dan pelayanan masyarakat secara lebih baik dan tepat waktu demi peningkatan kualitas layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2021
32;Peramalan Tingkat Polusi Udara Perkotaan Berbasis RNN;meningkatnya tingkat polusi udara di kota menjadi dasar penelitian ini metode recurrent neural network digunakan dengan analisis data deret waktu untuk memprediksi nilai pada periode mendatang data historis dikumpulkan kemudian dinormalisasi dan dibentuk menjadi urutan waktu sebagai masukan recurrent neural network dipilih karena mampu memproses data berurutan dan mengenali pola perubahan dari waktu ke waktu secara efektif model dilatih menggunakan data masa lalu dan diuji menggunakan data uji untuk mengukur akurasi peramalan hasil pengujian menunjukkan model mampu meramalkan nilai dengan tingkat kesalahan yang kecil dan mengikuti tren data secara konsisten penelitian ini diharapkan membantu proses perencanaan dengan menyediakan prediksi yang akurat sehingga dapat digunakan sebagai dasar pengambilan keputusan pada berbagai bidang seperti pertanian perdagangan dan pelayanan masyarakat secara lebih baik dan tepat waktu demi peningkatan kualitas layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
33;Prediksi Jumlah Pengunjung Objek Wisata dengan RNN;kebutuhan perencanaan kapasitas wisata melatarbelakangi penelitian ini metode recurrent neural network digunakan dengan analisis data deret waktu untuk memprediksi nilai pada periode mendatang data historis dikumpulkan kemudian dinormalisasi dan dibentuk menjadi urutan waktu sebagai masukan recurrent neural network dipilih karena mampu memproses data berurutan dan mengenali pola perubahan dari waktu ke waktu secara efektif model dilatih menggunakan data masa lalu dan diuji menggunakan data uji untuk mengukur akurasi peramalan hasil pengujian menunjukkan model mampu meramalkan nilai dengan tingkat kesalahan yang kecil dan mengikuti tren data secara konsisten penelitian ini diharapkan membantu proses perencanaan dengan menyediakan prediksi yang akurat sehingga dapat digunakan sebagai dasar pengambilan keputusan pada berbagai bidang seperti pertanian perdagangan dan pelayanan masyarakat secara lebih baik dan tepat waktu demi peningkatan kualitas layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
34;Peramalan Permintaan Produk Gudang Menggunakan RNN;pentingnya manajemen persediaan gudang menjadi perhatian penelitian ini metode recurrent neural network digunakan dengan analisis data deret waktu untuk memprediksi nilai pada periode mendatang data historis dikumpulkan kemudian dinormalisasi dan dibentuk menjadi urutan waktu sebagai masukan recurrent neural network dipilih karena mampu memproses data berurutan dan mengenali pola perubahan dari waktu ke waktu secara efektif model dilatih menggunakan data masa lalu dan diuji menggunakan data uji untuk mengukur akurasi peramalan hasil pengujian menunjukkan model mampu meramalkan nilai dengan tingkat kesalahan yang kecil dan mengikuti tren data secara konsisten penelitian ini diharapkan membantu proses perencanaan dengan menyediakan prediksi yang akurat sehingga dapat digunakan sebagai dasar pengambilan keputusan pada berbagai bidang seperti pertanian perdagangan dan pelayanan masyarakat secara lebih baik dan tepat waktu demi peningkatan kualitas layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
35;Sistem Rekomendasi Film Berbasis Collaborative Filtering;banyaknya pilihan film pada layanan streaming menjadi latar belakang penelitian ini metode collaborative filtering digunakan untuk menyarankan item yang relevan kepada pengguna berdasarkan kemiripan preferensi data interaksi pengguna dikumpulkan kemudian dibentuk menjadi matriks penilaian yang menggambarkan ketertarikan pengguna terhadap item collaborative filtering bekerja dengan mencari pengguna yang memiliki selera serupa lalu merekomendasikan item yang disukai pengguna lain metode ini dipilih karena tidak memerlukan informasi rinci tentang item dan mampu memberikan rekomendasi yang personal sistem diuji menggunakan data penilaian pengguna untuk mengukur akurasi rekomendasi hasil pengujian menunjukkan sistem mampu memberikan rekomendasi yang sesuai dengan preferensi pengguna penelitian ini bermanfaat untuk meningkatkan pengalaman pengguna dalam menemukan item yang diminati secara cepat dan tepat sehingga dapat diterapkan pada berbagai layanan digital seperti penjualan daring hiburan dan platform berbagi konten secara efektif dan menguntungkan bagi penyedia layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
36;Rekomendasi Buku Bacaan Mahasiswa dengan Collaborative Filtering;kebutuhan rekomendasi bacaan yang relevan mendorong penelitian ini metode collaborative filtering digunakan untuk menyarankan item yang relevan kepada pengguna berdasarkan kemiripan preferensi data interaksi pengguna dikumpulkan kemudian dibentuk menjadi matriks penilaian yang menggambarkan ketertarikan pengguna terhadap item collaborative filtering bekerja dengan mencari pengguna yang memiliki selera serupa lalu merekomendasikan item yang disukai pengguna lain metode ini dipilih karena tidak memerlukan informasi rinci tentang item dan mampu memberikan rekomendasi yang personal sistem diuji menggunakan data penilaian pengguna untuk mengukur akurasi rekomendasi hasil pengujian menunjukkan sistem mampu memberikan rekomendasi yang sesuai dengan preferensi pengguna penelitian ini bermanfaat untuk meningkatkan pengalaman pengguna dalam menemukan item yang diminati secara cepat dan tepat sehingga dapat diterapkan pada berbagai layanan digital seperti penjualan daring hiburan dan platform berbagi konten secara efektif dan menguntungkan bagi penyedia layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2020
37;Sistem Saran Produk E-Commerce Menggunakan Collaborative Filtering;banyaknya produk pada platform e-commerce menjadi dasar penelitian ini metode collaborative filtering digunakan untuk menyarankan item yang relevan kepada pengguna berdasarkan kemiripan preferensi data interaksi pengguna dikumpulkan kemudian dibentuk menjadi matriks penilaian yang menggambarkan ketertarikan pengguna terhadap item collaborative filtering bekerja dengan mencari pengguna yang memiliki selera serupa lalu merekomendasikan item yang disukai pengguna lain metode ini dipilih karena tidak memerlukan informasi rinci tentang item dan mampu memberikan rekomendasi yang personal sistem diuji menggunakan data penilaian pengguna untuk mengukur akurasi rekomendasi hasil pengujian menunjukkan sistem mampu memberikan rekomendasi yang sesuai dengan preferensi pengguna penelitian ini bermanfaat untuk meningkatkan pengalaman pengguna dalam menemukan item yang diminati secara cepat dan tepat sehingga dapat diterapkan pada berbagai layanan digital seperti penjualan daring hiburan dan platform berbagi konten secara efektif dan menguntungkan bagi penyedia layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
38;Rekomendasi Lagu Berdasarkan Selera Pengguna dengan Collaborative Filtering;beragamnya selera musik pengguna melatarbelakangi penelitian ini metode collaborative filtering digunakan untuk menyarankan item yang relevan kepada pengguna berdasarkan kemiripan preferensi data interaksi pengguna dikumpulkan kemudian dibentuk menjadi matriks penilaian yang menggambarkan ketertarikan pengguna terhadap item collaborative filtering bekerja dengan mencari pengguna yang memiliki selera serupa lalu merekomendasikan item yang disukai pengguna lain metode ini dipilih karena tidak memerlukan informasi rinci tentang item dan mampu memberikan rekomendasi yang personal sistem diuji menggunakan data penilaian pengguna untuk mengukur akurasi rekomendasi hasil pengujian menunjukkan sistem mampu memberikan rekomendasi yang sesuai dengan preferensi pengguna penelitian ini bermanfaat untuk meningkatkan pengalaman pengguna dalam menemukan item yang diminati secara cepat dan tepat sehingga dapat diterapkan pada berbagai layanan digital seperti penjualan daring hiburan dan platform berbagi konten secara efektif dan menguntungkan bagi penyedia layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2024
39;Sistem Rekomendasi Destinasi Wisata Berbasis Collaborative Filtering;banyaknya pilihan destinasi wisata menjadi perhatian penelitian ini metode collaborative filtering digunakan untuk menyarankan item yang relevan kepada pengguna berdasarkan kemiripan preferensi data interaksi pengguna dikumpulkan kemudian dibentuk menjadi matriks penilaian yang menggambarkan ketertarikan pengguna terhadap item collaborative filtering bekerja dengan mencari pengguna yang memiliki selera serupa lalu merekomendasikan item yang disukai pengguna lain metode ini dipilih karena tidak memerlukan informasi rinci tentang item dan mampu memberikan rekomendasi yang personal sistem diuji menggunakan data penilaian pengguna untuk mengukur akurasi rekomendasi hasil pengujian menunjukkan sistem mampu memberikan rekomendasi yang sesuai dengan preferensi pengguna penelitian ini bermanfaat untuk meningkatkan pengalaman pengguna dalam menemukan item yang diminati secara cepat dan tepat sehingga dapat diterapkan pada berbagai layanan digital seperti penjualan daring hiburan dan platform berbagi konten secara efektif dan menguntungkan bagi penyedia layanan hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
40;Analisis Pengguna Berpengaruh di Twitter dengan Graph Mining;kompleksitas interaksi pada media sosial menjadi latar belakang penelitian ini metode graph mining digunakan untuk menemukan pola hubungan dan pengguna berpengaruh dalam jaringan data interaksi antar pengguna dikumpulkan kemudian dimodelkan sebagai graph dengan pengguna sebagai simpul dan hubungan antar pengguna sebagai sisi berbagai ukuran sentralitas dihitung untuk menentukan simpul yang paling berpengaruh dalam jaringan algoritma penelusuran graph digunakan untuk menemukan komunitas dan pola penyebaran informasi metode graph mining dipilih karena mampu menangani data hubungan yang kompleks secara efektif hasil pengujian menunjukkan metode ini mampu mengidentifikasi pengguna berpengaruh dan struktur komunitas dengan baik penelitian ini bermanfaat untuk memahami dinamika interaksi dalam jaringan sosial sehingga dapat dimanfaatkan dalam bidang pemasaran penyebaran informasi serta analisis perilaku pengguna pada platform media sosial secara mendalam dan menyeluruh untuk berbagai keperluan strategis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
41;Pemetaan Jaringan Kolaborasi Dosen Menggunakan Graph Mining;kebutuhan analisis kolaborasi riset mendorong penelitian ini metode graph mining digunakan untuk menemukan pola hubungan dan pengguna berpengaruh dalam jaringan data interaksi antar pengguna dikumpulkan kemudian dimodelkan sebagai graph dengan pengguna sebagai simpul dan hubungan antar pengguna sebagai sisi berbagai ukuran sentralitas dihitung untuk menentukan simpul yang paling berpengaruh dalam jaringan algoritma penelusuran graph digunakan untuk menemukan komunitas dan pola penyebaran informasi metode graph mining dipilih karena mampu menangani data hubungan yang kompleks secara efektif hasil pengujian menunjukkan metode ini mampu mengidentifikasi pengguna berpengaruh dan struktur komunitas dengan baik penelitian ini bermanfaat untuk memahami dinamika interaksi dalam jaringan sosial sehingga dapat dimanfaatkan dalam bidang pemasaran penyebaran informasi serta analisis perilaku pengguna pada platform media sosial secara mendalam dan menyeluruh untuk berbagai keperluan strategis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
42;Analisis Penyebaran Informasi Hoaks Berbasis Graph Mining;cepatnya penyebaran informasi hoaks menjadi dasar penelitian ini metode graph mining digunakan untuk menemukan pola hubungan dan pengguna berpengaruh dalam jaringan data interaksi antar pengguna dikumpulkan kemudian dimodelkan sebagai graph dengan pengguna sebagai simpul dan hubungan antar pengguna sebagai sisi berbagai ukuran sentralitas dihitung untuk menentukan simpul yang paling berpengaruh dalam jaringan algoritma penelusuran graph digunakan untuk menemukan komunitas dan pola penyebaran informasi metode graph mining dipilih karena mampu menangani data hubungan yang kompleks secara efektif hasil pengujian menunjukkan metode ini mampu mengidentifikasi pengguna berpengaruh dan struktur komunitas dengan baik penelitian ini bermanfaat untuk memahami dinamika interaksi dalam jaringan sosial sehingga dapat dimanfaatkan dalam bidang pemasaran penyebaran informasi serta analisis perilaku pengguna pada platform media sosial secara mendalam dan menyeluruh untuk berbagai keperluan strategis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
43;Deteksi Komunitas pada Jaringan Pertemanan dengan Graph Mining;kompleksitas jaringan pertemanan daring melatarbelakangi penelitian ini metode graph mining digunakan untuk menemukan pola hubungan dan pengguna berpengaruh dalam jaringan data interaksi antar pengguna dikumpulkan kemudian dimodelkan sebagai graph dengan pengguna sebagai simpul dan hubungan antar pengguna sebagai sisi berbagai ukuran sentralitas dihitung untuk menentukan simpul yang paling berpengaruh dalam jaringan algoritma penelusuran graph digunakan untuk menemukan komunitas dan pola penyebaran informasi metode graph mining dipilih karena mampu menangani data hubungan yang kompleks secara efektif hasil pengujian menunjukkan metode ini mampu mengidentifikasi pengguna berpengaruh dan struktur komunitas dengan baik penelitian ini bermanfaat untuk memahami dinamika interaksi dalam jaringan sosial sehingga dapat dimanfaatkan dalam bidang pemasaran penyebaran informasi serta analisis perilaku pengguna pada platform media sosial secara mendalam dan menyeluruh untuk berbagai keperluan strategis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2022
44;Analisis Pola Komunikasi Daring Mahasiswa Menggunakan Graph Mining;beragamnya pola komunikasi mahasiswa menjadi perhatian penelitian ini metode graph mining digunakan untuk menemukan pola hubungan dan pengguna berpengaruh dalam jaringan data interaksi antar pengguna dikumpulkan kemudian dimodelkan sebagai graph dengan pengguna sebagai simpul dan hubungan antar pengguna sebagai sisi berbagai ukuran sentralitas dihitung untuk menentukan simpul yang paling berpengaruh dalam jaringan algoritma penelusuran graph digunakan untuk menemukan komunitas dan pola penyebaran informasi metode graph mining dipilih karena mampu menangani data hubungan yang kompleks secara efektif hasil pengujian menunjukkan metode ini mampu mengidentifikasi pengguna berpengaruh dan struktur komunitas dengan baik penelitian ini bermanfaat untuk memahami dinamika interaksi dalam jaringan sosial sehingga dapat dimanfaatkan dalam bidang pemasaran penyebaran informasi serta analisis perilaku pengguna pada platform media sosial secara mendalam dan menyeluruh untuk berbagai keperluan strategis hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2023
45;Optimasi Rute Distribusi Logistik dengan Algoritma Genetika;tingginya biaya distribusi logistik menjadi latar belakang penelitian ini metode algoritma genetika digunakan untuk menemukan solusi terbaik dari sejumlah kemungkinan dengan meniru proses seleksi alam algoritma genetika bekerja dengan membentuk populasi solusi awal secara acak kemudian melakukan proses seleksi persilangan dan mutasi secara berulang untuk menghasilkan solusi yang semakin baik dari generasi ke generasi setiap solusi dievaluasi menggunakan fungsi tujuan untuk mengukur kualitasnya proses berlanjut hingga diperoleh solusi optimal atau mendekati optimal metode ini dipilih karena mampu menjelajahi ruang solusi yang luas secara efisien hasil pengujian menunjukkan algoritma ini mampu menemukan solusi yang efisien dengan waktu komputasi yang wajar dan hasil yang stabil penelitian ini bermanfaat untuk menyelesaikan permasalahan optimasi yang kompleks seperti penentuan rute penjadwalan dan penempatan sumber daya secara efektif sehingga dapat menghemat biaya dan waktu operasional bagi perusahaan maupun instansi hasil penelitian ini diharapkan dapat memberikan kontribusi bagi pengembangan ilmu pengetahuan dan teknologi hasil penelitian ini diharapkan dapat memberikan kontribusi nyata bagi pengembangan ilmu pengetahuan dan teknologi serta penerapannya pada kehidupan masyarakat secara luas dan berkelanjutan di masa mendatang;2019
